id	language	current_pipeline	current_build_tool	strict_route	final_class	final_runtime
0	asm	ASM_INTERNAL	none	DIRECT_ISA	STANDALONE	none
1	c	NATIVE_SO	clang	NATIVE_SUBSET	STANDALONE	none
2	cpp	NATIVE_SO	clang++	NATIVE_SUBSET	CONDITIONAL	none_after_symbol_gate
3	rs	NATIVE_SO	rustc	NATIVE_SUBSET	CONDITIONAL	none_after_no_std_symbol_gate
4	kt	DEX	kotlinc+d8	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
5	java	DEX	javac+d8	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
6	py	SCRIPT_BOOTSTRAP	python3	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
7	sh	SCRIPT_BOOTSTRAP	sh	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
8	pl	SCRIPT_BOOTSTRAP	perl	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
9	js	SCRIPT_BOOTSTRAP	node	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
10	php	SCRIPT_BOOTSTRAP	php	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
11	jsx	JSX_BOOTSTRAP	npx+babel+node	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
12	go	NATIVE_SO	go	LOWER_TO_RAF_IR	REQUIRES_LOWERING	go_runtime_forbidden_in_strict_final
13	rb	SCRIPT_BOOTSTRAP	ruby	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
14	swift	NATIVE_SO	swiftc	LOWER_TO_RAF_IR	REQUIRES_LOWERING	swift_runtime_unproven
15	groovy	DEX	groovyc+d8	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
16	clj	SCRIPT_BOOTSTRAP	clojure	LOWER_TO_RAF_IR	REQUIRES_LOWERING	forbidden_in_strict_final
17	glsl	GPU_SPV	glslc	DEVICE_KERNEL	DEVICE_ONLY	driver_outside_kernel
18	cl	GPU_CL	device_driver	DEVICE_KERNEL	DEVICE_ONLY	driver_outside_kernel
19	hlsl	GPU_SPV	glslc	DEVICE_KERNEL	DEVICE_ONLY	driver_outside_kernel
20	wgsl	GPU_WGSL	device_driver	DEVICE_KERNEL	DEVICE_ONLY	driver_outside_kernel
21	dsp	DSP	hexagon-clang	DEVICE_KERNEL	CONDITIONAL	device_loader_must_be_proven
22	tflite	NPU_MODEL	model_blob	MODEL_TO_INTERNAL_KERNELS	DATA_ONLY	external_interpreter_forbidden
